                                    QX( 2)  Manderfield outflow                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1968   1550.   1210.   1160.   1010.    980.   1250.   2250.  10410.  12430.   5240.   3260.   1590.    42340.
           1969   1480.   1190.   1130.   1140.    950.   1170.   4120.  16440.  10020.   5730.   3030.   1820.    48220.
           1970   1666.   1339.   1232.   1188.   1033.   1204.   1563.   7751.   8803.   5032.   2319.   1666.    34796.
           1971   1398.   1279.   1230.   1071.   1123.   1267.   2717.   6218.   6363.   3439.   1870.   1325.    29300.
           1972   1273.   1144.   1111.    958.    895.   1470.   1492.   2402.   1831.    972.    773.    847.    15168.
           1973   1190.   1040.    950.    900.    790.    950.   2070.  15480.  14460.   7680.   2890.   1360.    49760.
           1974   1267.   1097.   1140.   1144.   1061.   1597.   2473.   8598.   5954.   1767.   1077.    940.    28115.
           1975    934.   1000.    924.    845.    827.    954.   1109.   5209.   9427.   4360.   1759.   1228.    28576.
           1976   1140.    962.    990.    918.    873.    958.   1486.   5316.   2489.   1214.    908.    764.    18018.
           1977    823.    738.    612.    612.    635.    791.   1960.   1583.   1662.    916.    723.    635.    11690.
           1978    820.    690.    620.    710.    740.   1190.   2990.   9670.  15800.   4360.   3760.   1620.    42970.
           1979   1340.   1120.   1120.   1080.    910.   1080.   2990.  17130.  19580.   4060.   2150.   1350.    53910.
           1980   1210.   1160.   1070.   1020.   1040.   1250.   4530.  13300.  26400.   9680.   4720.   2490.    67870.
           1981   2069.   1797.   1537.   1472.   1027.   1234.   4324.   7622.   5833.   2225.   1654.   1313.    32107.
           1982   1460.   1410.   1230.   1010.   1000.   1210.   2880.  12920.  10230.   5420.   3260.   2070.    44100.
           1983   2160.   1840.   1330.   1360.   1220.   1640.   2300.  14700.  37980.  12190.   6030.   3760.    86510.
           1984   2060.   2790.   2320.   1560.   1600.   1750.   4270.  25130.  15750.   7110.   4840.   2590.    71770.
           1985   2320.   1580.   1710.   1630.   1220.   1640.   4940.  14640.   9200.   4540.   2930.   1760.    48110.
           1986   1530.   1270.   1180.   1390.   1310.   2760.   5540.  15050.   8770.   5460.   4480.   2600.    51340.
           1987   2220.   1777.   1440.   1394.   1218.   1517.   4050.   7014.   6290.   4489.   2723.   1682.    35814.
           1988   1510.   1490.   1340.   1410.   1110.   1760.   3250.  10450.   7830.   4040.   3690.   1750.    39630.
           1989   1343.   1317.   1240.   1085.    988.   1835.   4056.   3931.   2287.   1327.   1103.    879.    21391.
           1990    904.    968.    980.    853.    833.   1170.   1924.   3957.   3275.   1432.   1067.    974.    18337.
                        10234500 BEAVER RIVER NEAR BEAVER, UT                     Acre-Feet                              PAGE  3

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1991   1021.    928.    889.    839.    766.    960.   1801.   5181.   6688.   4013.   2225.   1315.    26626.
