

                                    09415000  VIRGIN R AT LITTLEFIELD, AZ                     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN
         1979    5050.   12410.   13940.   12290.   18000.   37100.   75070.   95880.   23200.    4240.    7790.    3920.   308890.
         1980    5700.   10200.   11900.   36800.  134000.   42700.   56300.   91300.   27200.    8700.    6500.   19000.   450300.
         1981   14100.   16170.   16670.   13980.   13700.   20520.   24960.   13070.    6180.    8170.    9530.    6810.   163860.
         1982   11470.   11170.   12090.   14300.   13680.   22130.   21090.   22030.    5720.    5880.   14340.   11270.   165170.
         1983   12100.   17500.   31000.   17900.   19300.  101100.   67600.  120000.   66600.   16400.   23800.   11300.   504600.
         1984   19690.   18750.   23980.   18020.   14740.   13840.   16850.   13800.    5690.   18130.   18520.    9360.   191370.
         1985   11400.   13310.   16900.   17680.   15650.   22190.   36230.   21180.    5050.    5630.    4700.    5390.   175310.
         1986    7950.   13320.   16040.   14530.   17320.   16530.   14330.   11260.    5500.    5210.    6340.   14980.   143310.
         1987   16930.   13730.   10520.    8680.    8190.   11060.   20020.   11840.    6060.    9340.    8630.    5360.   130360.
         1988   11030.   21050.   12290.   15120.   14420.   14350.   31260.   24700.    8950.    5170.   20770.   11070.   190180.
         1989    2185.     623.     804.     844.     273.     557.     661.     774.     346.     240.     594.    1247.     9148.
         1990    7210.    8060.    9800.   12140.    7980.    6190.    4680.    3070.    3350.    3600.    5830.   10180.    82090.
         1991    5740.    6000.    7330.    7640.    6110.   10060.    5980.    5120.    4090.    3860.    4520.    6130.    72580.
         1992    5680.    7550.    8910.    9800.   13950.   28810.   24400.   12990.    4620.    5830.    9420.    6480.   138440.
         1993   11860.   11870.   12180.   46340.   71960.   72940.   76880.   85840.   19890.    6120.    7650.    6570.   430100.
         1994   12520.   13210.   19210.   11820.   13980.   15030.   13170.   12110.    4430.    4730.    5720.    6260.   132190.
         1995   12400.   12000.   13900.   17900.   26100.  111000.   32700.   66400.   36300.   10900.    7100.    9800.   356500.
         1996    7830.   17120.   14700.   12620.   19200.   14480.    7680.    5730.    3770.    5680.    4780.    5270.   118860.
         1997    8230.   23400.   12040.   25110.   15150.   12230.   12380.    8810.    3950.    4290.   10960.   20970.   157520.

                                    09415000  VIRGIN R AT LITTLEFIELD, AZ                     Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN


         MEAN    8932.   11451.   13717.   14220.   18028.   22673.   24370.   26051.    8316.    6506.   10934.    8776.   173974.

          PCT    5.13%    6.58%    7.88%    8.17%   10.36%   13.03%   14.01%   14.97%    4.78%    3.74%    6.28%    5.04%   100.00%

           SD    5476.    5004.    9082.    7466.   18782.   23823.   22352.   31538.    9719.    4322.   10307.    7652.   101187.

           CV     0.61     0.44     0.66     0.53     1.04     1.05     0.92     1.21     1.17     0.66     0.94     0.87      0.58

           FILE: .\09415000                                                                      
