                        09271000 ASHLEY C, SIGN OF THE MAINE, NR VERNAL, UTAH                                            PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1987   5002.   3146.   2878.   2051.   1714.   1787.   3392.  22598.  21846.  11044.   8969.   4604.    89031.
           1988   3076.   2717.   1942.   1432.   1079.   1164.   2241.  10193.   8717.   5925.   4001.   3453.    45940.
           1989   2138.   1716.   1894.   1813.   1377.   1410.   3249.   6601.   6557.   4620.   3979.   3003.    38357.
           1990   2614.   1704.   1440.   1373.   1244.   1416.   2862.  11669.  21364.   8450.   5399.   4681.    64216.
           1991   2822.   1708.   1184.   1091.   1123.   1180.   1807.   9703.  23349.   8170.   9051.   8339.    69527.
           1992   3616.   1809.   1339.   1398.   1428.   1430.   2953.  12918.   9727.   7202.   4415.   4124.    52359.
           1993   2803.   1730.   1813.   1708.   1113.   1412.   2198.  20505.  17853.   9751.   9179.   5240.    75305.
           1994   3295.   2541.   2374.   1591.   1388.   1686.   2688.  13666.   9374.   8436.   5191.   4495.    56725.
           1995   6050.   3800.   2320.   2010.   1600.   2300.   2640.   8280.  59960.  35230.  10130.   7840.   142160.
                        09299500 WHITEROCKS RIVER NEAR WHITEROCKS, UT                                                    PAGE  3

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1996   3497.   2093.   1605.   1696.   1293.   1452.   2261.  14648.  13438.  11203.   7196.   5115.    65497.
           1997   2985.   2067.   1250.   1325.   1027.   1791.   2755.  24367.  22522.   9235.  10177.  12893.    92394.
           1998   8850.   4260.   3040.   2590.   1990.   2350.   2770.  19890.  44280.  20500.   9430.   8250.   128200.
           1999   6540.   3490.   2740.   2640.   1830.   1920.   2050.  16290.  48320.  11460.   7810.  10560.   115650.
           2000   3174.   2352.   2255.   1874.   1644.   1807.   2969.  16663.  11048.   7991.   5153.   4750.    61680.
           2001   4239.   3461.   2118.   1924.   1601.   1811.   3394.  28508.  18212.  11482.   6906.   3673.    87329.
           2002   2602.   1962.   1640.   1301.   1089.   1375.   1906.   5774.   4895.   3451.   2912.   3509.    32416.
           2003   3199.   2253.   1773.   1438.   1248.   1418.   2301.  15961.  13394.  10548.   5131.   4147.    62811.
           2004   2624.   2015.   1763.   1640.   1337.   2003.   2751.  13010.   9828.   9414.   5595.   4574.    56554.
           2005   4970.   3920.   3460.   2710.   2470.   2740.   4520.  41100.  51230.  22280.  10900.   7720.   158020.
           2006   4009.   2501.   1781.   1726.   1519.   1702.   3170.  21162.   9584.   9667.   6075.   4548.    67444.
           2007   5447.   2509.   1902.   1674.   1230.   1642.   2936.  12266.   6587.   5064.   4169.   4126.    49552.
           2008   6405.   2644.   1936.   1839.   1396.   1426.   1962.  11540.  15320.   9394.   6079.   5032.    64973.
           2009   3176.   2037.   1847.   1987.   1220.   1297.   2079.  20705.  15094.  12377.   7696.   5010.    74525.
           2010   3132.   1926.   1644.   1396.   1172.   1373.   1932.   7783.  27856.  12541.   6222.   3955.    70932.
           2011   3770.   2370.   1740.   1250.   1180.   1270.   2470.  10500.  59460.  36400.  13000.   8990.   142400.

          +AVE.   4443.   2915.   2272.   1918.   1580.   1768.   3153.  17958.  22570.  10554.   7578.   5365.    82074.


          +   AVE. GIVEN FOR YEARS OF CONCURRENT DATA WITH CORRELATED STATION
                        09271000 ASHLEY C, SIGN OF THE MAINE, NR VERNAL, UTAH                                            PAGE  4

           R      0.408   0.461   0.317   0.335   0.340   0.296   0.521   0.471   0.949   0.962   0.916   0.795               0.850
           A   0.68E+190.93E+210.32E+260.48E+280.67E+310.15E+320.73E-090.50E-130.49E-020.51E+000.62E-010.54E-01           0.152E-04
           B   -.42E+01-.51E+01-.66E+01-.75E+01-.87E+01-.86E+010.36E+010.42E+010.15E+010.11E+010.13E+010.13E+01           0.198E+01

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       SUM       ANN

          *1919   1929.   2199.   2767.   2180.    845.    564.   3223.  14490.    804.   1141.    734.   1492.    32367.    23145.
          *1920   5071.   1198.   1142.   8504.    622.     14.    882.  55932.  42858.   4615.   1544.    934.   123315.    83157.
          *1921 286471.2234685.1188315. 638857. 341965.********     61.      5.    396.      0.   8635.   7514.**********    11194.
          *1922   2062.   9555.      0.********      0.      0.      0. 332690. 193783.  17200.  10147.   5754.**********   324080.
          *1923      0.      0.      0.      0.      0.      0.      0. 237250. 104405.  17584.   6465.   3920.   369625.   178107.
          *1924   1746.   1061.      0.      0.      0.      0.      0.   2772.   4521.   3729.   2094.   1820.    17743.    17895.
          *1925  30840.   8108.      0.      0.      0.********   1109.  33704.  14873.   7048.   1080.    105.**********    35568.
          *1926      0.      0.********      0.      0.      0.   7245.     32.     22.      0.     33.   2805.**********     1975.
          *1927  18434.********      0.      0.********      0.      0.    916.  28855.  11604.   6710.  23662.**********    78540.
          *1928   2058.    161.      0.      0.********      0.      0.      0.      0.   2167.   3235.   2725.**********     6091.
          *1930    666.    314.    305.     75.    114.    497.   1294. 147127.  27077.   8959.  10624.   5681.   202734.   135581.
          *1931    993.   1789.    524.    692.    845.    433.   1160.    909.   4093.   2609.   2455.   1734.    18236.    25818.
          *1932  17520.   6570.   2293.   1347.    654.    822.   1763. 207270.  32022.  10442.   6031.   2914.   289649.   115049.
          *1933  17085.  11567.  25668.   2180.   4107.   7338.    222.    672.  26181.   7940.   2382.   1486.   106827.    43511.
          *1934  56068.  16948.  25668.  21996.  28235.  80973.   3909.    309.   1150.   1069.   2635.   1715.   240675.    11881.
          *1935  37818.  16648.   4966.   2224.    828.    559.    945.    255.  48491.   5976.   2453.   1877.   123038.    58102.
          *1936  37250.  16948.   4933.   1987.   1374.   2870.   1254.  10171.   7172.   6791.   7864.   6826.   105439.    52339.
          *1937   4131.   1297.   2784.   2224.   4056.   4685.   2240. 448028.  19542.   9618.   6068.   4324.   509000.   117940.
          *1938   5172.   8926.   6310.   1972.    872.    918.   6679.  55252.  53300.   9795.   5264.   6374.   160833.   128497.
           1939      0.      0.      0.      0.      0.      0.      0.      0.   1234.   3187.   1989.   5825.    12235.    12235.
           1940   5425.   3443.   2370.   1809.   1404.   1462.   4280.  21148.   6123.   3715.   1712.   2362.    55253.    55253.
           1941   4470.   3300.   2420.   2030.   1590.   1640.   1650.  45170.  40340.  11930.   6690.   7050.   128280.   128280.
           1942  11290.   6920.   4370.   2910.   2090.   2180.   6060.  29870.  41060.  10520.   5880.   4610.   127760.   127760.
           1943   3247.   2366.   2128.   1807.   1466.   1634.   9283.  24744.  16731.   8648.   5609.   3219.    80882.    80882.
           1944   2360.   2020.   1780.   1520.   1250.   1410.   1790.  33700.  65400.  18600.   8270.   4210.   142310.   142310.
           1945   2836.   2158.   1837.   1688.   1476.   1583.   1551.  19204.  24085.  10899.   7244.   5248.    79809.    79809.
           1946   3771.   2483.   2021.   1676.   1424.   1428.   6825.  10625.   7898.   4437.   3221.   3235.    49044.    49044.
           1947   3210.   3240.   2850.   2360.   1740.   2090.   3430.  52120.  34930.  14800.   7760.   5510.   134040.   134040.
           1948   4330.   2610.   2260.   1870.   1550.   1570.   2000.  32510.  17860.   6940.   5270.   2330.    81100.    81100.
           1949   2020.   1690.   1550.   1420.   1180.   1330.   2490.  30500.  41070.  10840.   6980.   3480.   104550.   104550.
           1950   3590.   2780.   2200.   1980.   1730.   1960.   4480.  36010.  37710.  13690.   7800.   4330.   118260.   118260.
           1951   3227.   2225.   2029.   1791.   1384.   1515.   1337.  21705.  22350.   7470.   6452.   4342.    75827.    75827.
           1952   3630.   2250.   1900.   1790.   1530.   1550.   4100.  46570.  38240.  11460.  13050.   6130.   132200.   132200.
           1953   4423.   2922.   2301.   2188.   1779.   1952.   2144.   8820.  22600.   8370.   5298.   2331.    65128.    65128.
           1954   1819.   1997.   2023.   1833.   1349.   1365.   3231.  23252.   8717.   6813.   3731.   2481.    58611.    58611.
           1955   2565.   2116.   1769.   1597.   1260.   1365.   1547.  17460.  11141.   5155.   3977.   2469.    52421.    52421.
           1956   2400.   1740.   1780.   1620.   1350.   1370.   2170.  31630.  14400.   6260.   3260.   1720.    69700.    69700.
           1957   1470.   1460.   1380.   1390.   1300.   1210.   1060.   6440.  51010.  13250.   7560.   5420.    92950.    92950.
           1958   3340.   2860.   2370.   1950.   1600.   1590.   2110.  37910.  22990.   8260.   4530.   2710.    92220.    92220.
