                        09262000 BIG BRUSH CREEK NEAR VERNAL,UTAH                 Acre-Feet                              PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1989   2138.   1716.   1894.   1813.   1377.   1410.   3249.   6601.   6557.   4620.   3979.   3003.    38357.
           1990   2614.   1704.   1440.   1373.   1244.   1416.   2862.  11669.  21364.   8450.   5399.   4681.    64216.
           1991   2822.   1708.   1184.   1091.   1123.   1180.   1807.   9703.  23349.   8170.   9051.   8339.    69527.
           1992   3616.   1809.   1339.   1398.   1428.   1430.   2953.  12918.   9727.   7202.   4415.   4124.    52359.
           1993   2803.   1730.   1813.   1708.   1113.   1412.   2198.  20505.  17853.   9751.   9179.   5240.    75305.
           1994   3295.   2541.   2374.   1591.   1388.   1686.   2688.  13666.   9374.   8436.   5191.   4495.    56725.
           1995   6050.   3800.   2320.   2010.   1600.   2300.   2640.   8280.  59960.  35230.  10130.   7840.   142160.
                        09299500 WHITEROCKS RIVER NEAR WHITEROCKS, UT                                                    PAGE  3

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1996   3497.   2093.   1605.   1696.   1293.   1452.   2261.  14648.  13438.  11203.   7196.   5115.    65497.
           1997   2985.   2067.   1250.   1325.   1027.   1791.   2755.  24367.  22522.   9235.  10177.  12893.    92394.
           1998   8850.   4260.   3040.   2590.   1990.   2350.   2770.  19890.  44280.  20500.   9430.   8250.   128200.
           1999   6540.   3490.   2740.   2640.   1830.   1920.   2050.  16290.  48320.  11460.   7810.  10560.   115650.
           2000   3174.   2352.   2255.   1874.   1644.   1807.   2969.  16663.  11048.   7991.   5153.   4750.    61680.
           2001   4239.   3461.   2118.   1924.   1601.   1811.   3394.  28508.  18212.  11482.   6906.   3673.    87329.
           2002   2602.   1962.   1640.   1301.   1089.   1375.   1906.   5774.   4895.   3451.   2912.   3509.    32416.
           2003   3199.   2253.   1773.   1438.   1248.   1418.   2301.  15961.  13394.  10548.   5131.   4147.    62811.
           2004   2624.   2015.   1763.   1640.   1337.   2003.   2751.  13010.   9828.   9414.   5595.   4574.    56554.
           2005   4970.   3920.   3460.   2710.   2470.   2740.   4520.  41100.  51230.  22280.  10900.   7720.   158020.
           2006   4009.   2501.   1781.   1726.   1519.   1702.   3170.  21162.   9584.   9667.   6075.   4548.    67444.
           2007   5447.   2509.   1902.   1674.   1230.   1642.   2936.  12266.   6587.   5064.   4169.   4126.    49552.
