

                                    10046000 RAINBOW INLET CANAL NR DINGLE IDAHO              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN
         1977   11770.   11390.    7510.    7270.    6300.    7130.    3240.     510.     570.     420.     690.    1880.    58680.
         1978    1310.    3140.    4280.    4100.    4340.   11060.   35570.   69820.   69140.   37120.   17500.   14620.   272000.
         1979   12350.   11740.    9930.    8260.    7510.   16260.   31920.   31500.   10840.    4750.    2560.    1360.   148980.
         1980    1300.    7500.    6200.   10300.   11900.   23400.   65400.  158900.   82600.   36900.   11800.   10000.   426200.
         1981   11000.   12320.   10490.    9840.    7990.   11300.    4730.    6120.   15160.    9770.    5190.     740.   104650.
         1982    5800.    9400.    8900.    6700.    8900.   26000.   39500.  119700.   83000.   67300.   33300.   21200.   429700.
         1983   48300.   37300.   35600.   20100.   17900.   43600.   44100.  141500.  182700.   76500.   49500.   45200.   742300.
         1984   45100.   43500.   24900.   20300.   19500.   36700.  103500.  191700.  197200.   80800.   38600.   32500.   834300.
         1985   34500.   30500.   20800.   22300.   19200.   30700.  126800.   91000.   25200.   29300.    9400.    8100.   447800.
         1986   13700.   14400.   11000.    9600.   24100.   80900.  121700.  190300.  212500.   73500.   30700.   27400.   809800.
         1987   30340.   27960.   19770.   15950.   17850.   32830.   33250.   18360.   18430.   19320.    8270.    6440.   248770.
         1988    6450.    8860.    7930.    6780.    6400.   16860.   22640.   13260.    3610.    7960.    2080.    1590.   104420.
         1989    3500.    5350.    5460.    5540.    5410.   15300.   20450.    7100.    7170.    7950.    3440.    2920.    89590.
         1990    4990.    6670.    5350.    5570.    5210.    8290.    5160.    1510.    2720.    3310.    1790.    1470.    52040.

                                    10046000 RAINBOW INLET CANAL NR DINGLE IDAHO              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1992    9250.   10930.    6750.    4240.    4530.    8430.    6520.    8430.   36570.   12790.    5480.    8420.   122340.
         1993    1890.    3810.    3220.    5440.    6430.   21600.   11010.     560.     440.    4390.     900.    1590.    61280.
         1994   12630.   10590.    8150.    3490.    4000.   18150.   31430.   83720.   80730.   43790.   22740.   11700.   331120.
         1995    5730.    6790.    6380.    8340.    7130.   19870.   13280.    4500.    2430.    1160.     840.     770.    77220.
         1996   13490.   17010.   16330.    5560.   13350.   44590.   27970.   29510.   76870.   65710.   15730.   11980.   338100.
         1997   10830.   13350.   12940.   14110.   12470.   24510.   56890.   82750.   79590.   42620.   14380.    6360.   370800.
         1998   20000.   21400.   23200.   14100.    8700.   33100.   75300.  159400.  146300.   53100.   26900.   21000.   602500.
         1999   34880.   22760.   17720.   22530.   19850.   31030.   68860.   96010.   94600.   87650.   31630.   21130.   548650.
         2000   15600.   15100.   15000.   15300.   14400.   25500.   48000.  101000.  138400.   59100.   26600.   19100.   493100.

         MEAN   10566.   11265.    9381.    8588.    9330.   22581.   48695.   62701.   50517.   23497.   10310.    7310.   274739.

          PCT    3.85%    4.10%    3.41%    3.13%    3.40%    8.22%   17.72%   22.82%   18.39%    8.55%    3.75%    2.66%   100.00%

           SD    9556.    7820.    6118.    5032.    5096.   14300.   33818.   52796.   49278.   24429.   10307.    8477.   181733.

           CV     0.90     0.69     0.65     0.59     0.55     0.63     0.69     0.84     0.98     1.04     1.00     1.16      0.66

           FILE: .\10046000                                                                      
