

                                    10079500 BEAR RIVER AT ALEXANDER IDAHO                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN
         1986   51900.   51800.   61400.   56300.   74300.  128600.  139000.  168900.  221600.  158300.  129000.  116200.  1357300.
         1987  124300.  129400.   98100.   64300.   54200.   42200.   26500.   50600.   54300.   63900.   49700.   29800.   787300.
         1988   18400.   17500.   17510.   15450.   14600.   20800.   30610.   30610.   69270.   89490.   63450.   42940.   430630.
         1989   19060.    3700.    6790.   12460.   11280.   29330.   30650.   24670.   42570.   83450.   58970.   29830.   352760.
         1990    8330.   13780.   11870.   14780.    9640.   19580.   17260.   45660.   45040.   98720.   66560.   38900.   390120.
         1991   16010.   13550.   12190.   14780.    9640.   19580.   17260.   45660.   45040.   98720.   66560.   38900.   397890.
         1992   11310.   15490.   14480.   11260.   11560.    8220.   15180.   31070.   40830.   90410.   55260.   18050.   323120.
         1993    9070.   10910.    8730.   11060.   11640.   20040.   20400.   63560.   71480.   54250.   62240.    7620.   351000.
         1994   13130.   13740.   13360.    7700.    8070.   22710.   31190.   49210.   40660.   63570.   46280.   26220.   335840.

                                    10079500 BEAR RIVER AT ALEXANDER IDAHO                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1995   11610.   10620.   11340.   13440.   10270.   28230.   18980.   33340.   69000.   85550.   59140.   30410.   381930.
         1996   10590.   19880.   19710.   10790.   14490.   28560.   19160.   31780.   36760.   49410.   63490.   33890.   338510.
         1997   17100.   21100.   22220.   14010.   13230.   21510.   50750.   50140.   51950.   59070.   53100.   27330.   401510.
         1998   86500.   89700.   62100.   26200.   17400.   51800.   84700.   98100.  108100.   83100.   91400.   96500.   895600.
         1999   87200.   91900.   67400.   68500.   65900.   83100.   83200.   71400.   63500.  105000.   85200.   82100.   954400.
         2000   67030.   67340.   55490.   50270.   62990.   85090.   62660.   95900.   90130.   91480.   82710.   70260.   881350.

         MEAN   34341.   34707.   34376.   32643.   28435.   36103.   43422.   48762.   60127.   76279.   65771.   45678.   540643.

          PCT    6.35%    6.42%    6.36%    6.04%    5.26%    6.68%    8.03%    9.02%   11.12%   14.11%   12.17%    8.45%   100.00%

           SD   31385.   31146.   27138.   24340.   21641.   25536.   24847.   25367.   36937.   24165.   21731.   26580.   266053.

           CV     0.91     0.90     0.79     0.75     0.76     0.71     0.57     0.52     0.61     0.32     0.33     0.58      0.49

           FILE: .\10079500                                                                      
