                        10016900 BEAR RIVER AT EVANSTON, WY                                                              PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN
           1986   4090.   4160.   4890.   3390.   2860.  16420.  28270.  79380. 112450.  23540.   6660.   5870.   291980.   291980.
           1987   5238.   5831.   5963.   5143.   4004.  12873.  24800.  48390.  18570.   4060.   5000.   5330.   145202.   145202.
           1988   2495.   2691.   3595.   3331.   3220.   9380.  20610.  40650.  14400.   2810.   1010.    700.   104892.   104892.
           1989   1600.   1939.   3571.   3230.   2738.  16140.  16385.  27094.  27031.   6617.   3737.   1846.   111928.   111928.
           1990   1791.   1318.   2399.   2586.   2979.   8874.  10380.  20270.  41140.   6410.   2480.   1300.   101927.   101927.
           1991   1863.   1619.   1586.   1257.   1728.   2565.   9550.  36360.  55220.   4700.   5090.   3510.   125048.   125048.
           1992   2399.   3800.   3906.   2707.   2271.   5719.  16080.  33280.   7220.   3080.   1040.    740.    82242.    82242.
           1993   1135.   1713.   2423.   1298.   1427.   5832.  18440.  75460.  60690.  18620.   5340.   2930.   195308.   195308.
           1994   3365.   2484.   2638.   3230.   2421.   6282.  16510.  39510.  14130.   2460.   1280.    750.    95060.    95060.
           1995   3878.   3198.   4791.   4519.   2828.  11070.   7930.  32460.  93240.  60230.   5820.   3010.   232974.   232974.
           1996   3032.   2992.   3547.   2787.   2949.  13549.  24820.  59830.  62810.   6510.   2170.   2330.   187326.   187326.
           1997   2364.   2954.   3834.   3391.   3039.  11127.  26080.  66930.  70100.   4950.   4680.   5480.   204929.   204929.
           1998   6371.   5473.   4983.   2727.   2617.  10338.  19480.  55950.  76100.  39670.   8040.   4970.   236719.   236719.
           1999   4701.   4571.   3260.   4297.   2843.  12535.  17800.  62390.  75560.  14100.   6520.   4090.   212667.   212667.
           2000   3198.   2465.   3763.   3532.   3054.   8986.  13260.  38090.  11250.   1960.   1390.   2020.    92968.    92968.
           2001   2447.   2051.   2543.   1781.   2391.   6451.   9550.  41680.   7530.   3730.   1170.    730.    82054.    82054.
           2002    708.   1024.   1686.   1482.   1468.   2799.  11137.  22588.  11058.   2104.    785.   1999.    58838.    58838.
           2003   2730.    880.    800.   1050.   1850.   5780.   9460.  37750.  28680.   5330.   2670.   1920.    98900.    98900.
           2004   1107.   1434.   1258.   1476.   1601.   9251.  12611.  27586.  16108.   7557.   3786.   2063.    85838.    85838.
           2005   2980.   3380.   2630.   3150.   3110.   8250.  15860.  72410.  58600.  13390.   4600.   2360.   190720.   190720.
           2006   2170.   2060.   2870.   3260.   2800.   4640.  16980.  55740.  33170.   6610.   4190.   3910.   138400.   138400.
           2007   9090.   5030.   3780.   3140.   3010.  16170.  13860.  43370.   9750.   3830.   1900.   2530.   115460.   115460.
           2008   4880.   2360.   2170.   2200.   2500.   3560.  11670.  55490.  68430.  12350.   3690.   3330.   172630.   172630.
           2009   2300.   2230.   1670.   2120.   2100.   6250.  22240.  69170.  56020.  11770.   4150.   3390.   183410.   183410.
           2010   3770.   2620.   1370.   1590.   1530.   3540.  18350.  32550.  81940.   7430.   4210.   2760.   161660.   161660.
           2011   3090.   3460.   3680.   3250.   3260.   6140.  31850.  63940. 137220.  80460.   8710.   5920.   350980.   350980.
           2012   6292.   5593.   4389.   4278.   3505.  13513.  16032.  22136.   6268.   3314.   2299.   2202.    89821.    89821.
                        10016900 BEAR RIVER AT EVANSTON, WY                                                              PAGE  4

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       SUM       ANN

          *2013   2000.   1000.      0.                   3000.   6000.  34000.                                                    

           AVE.   3088.   2690.   3161.   2757.   2643.   7625.  15279.  45580.  50993.  13418.   3831.   2616.   154281.   154281.


          * DATA CORRELATED WITH STATION:     10011500 BEAR RIVER NEAR UTAH-WYOMING STATE LINE                                
          Count      71      71      71      70      70      71      71      71      70      71      71      71                  70

           NUMBER OF YEARS   70                       Linear Regression   
                                                                                                                        PAGE  5

          Correlation Coefficients           11:49:00.8          02/28/2014
                      Linear Regression   
          1 OCT  A=-.164882500E+04, B=0.119327929E+01, R=  0.996779, R*R=  0.993569
          2 NOV  A=-.344454881E+04, B=0.188579986E+01, R=  0.990704, R*R=  0.981495
          3 DEC  A=-.348874378E+04, B=0.237829287E+01, R=  0.987590, R*R=  0.975334
          4 JAN  A=-.240663787E+04, B=0.201319384E+01, R=  0.981988, R*R=  0.964301
          5 FEB  A=-.714134341E+03, B=0.150749209E+01, R=  0.974628, R*R=  0.949900
          6 MAR  A=-.746200991E+04, B=0.563294775E+01, R=  0.982342, R*R=  0.964997
          7 APR  A=-.923374124E+03, B=0.242713973E+01, R=  0.903443, R*R=  0.816209
          8 MAY  A=-.124566335E+05, B=0.157862509E+01, R=  0.956297, R*R=  0.914505
          9 JUN  A=-.107328444E+05, B=0.123732037E+01, R=  0.992175, R*R=  0.984411
         10 JUL  A=-.502278632E+04, B=0.991383797E+00, R=  0.998607, R*R=  0.997215
         11 AUG  A=-.162053023E+04, B=0.950091789E+00, R=  0.984688, R*R=  0.969610
