10128500 WEBER RIVER NEAR OAKLEY, UT                      Acre-Feet                         60     3 MEAN VALUE FOR EACH DAY
        1988 1  330  302  308  335  300  293  761 2695 1891  689  588  749  9241
        1989 1  266  296  240  241  224  385 1535 3138 2966  791  646  878 11606
        1990 1  335  341  260  258  229  318  906 2327 4207  946  726  479 11332
        1991 1  286  270  230  246  250  272  468 2917 5223  817  914  642 12535
        1992 1  313  379  318  278  251  324  871 2887  907  462  244  206  7440
        1993 1  208  226  234  240  228  384  908 5722 7426 2971  923  661 20131
        1994 1  559  302  235  308  293  396 1146 3951 2119  753  563  390 11015
        1995 1  444  391  349  315  337  641  902 2935 8063 5064 1098  780 21319
        1996 1  731  430  380  355  315  516 1208 4550 6316 1359  845  768 17773
        1997 1  476  458  402  320  351  641 1171 5649 7646 1203  878  779 19974
        1998 1  659  500  437  443  396  548 1014 3978 6335 3206 1019  837 19372
        1999 1  792  539  510  433  412  515  851 3797 7201 1652 1014  693 18409
        2000 1  490  383  372  359  297  338  882 4015 1989  784  591  413 10913
        2001 1  406  348  335  289  298  392  765 4353 1246  735  547  316 10030
        2002 1  303  205  202  204  236  285  937 3087 1988  714  447  372  8980
        2003 1  440  376  394  365  278  375  908 3822 2818  989  557  330 11652
        2004 0 2729 2983 8761                                                   
